"module name","license","repository"
"@ampproject/remapping@2.2.0","Apache-2.0","https://github.com/ampproject/remapping"
"@babel/code-frame@7.12.11","MIT","https://github.com/babel/babel"
"@babel/code-frame@7.16.7","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.17.10","MIT","https://github.com/babel/babel"
"@babel/core@7.17.10","MIT","https://github.com/babel/babel"
"@babel/generator@7.17.10","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-builder-binary-assignment-operator-visitor@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.17.10","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.17.9","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.17.0","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.3.1","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-environment-visitor@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-explode-assignable-expression@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.17.9","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.17.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.17.7","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.16.8","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.17.7","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.16.0","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.16.8","MIT","https://github.com/babel/babel"
"@babel/helpers@7.17.9","MIT","https://github.com/babel/babel"
"@babel/highlight@7.17.9","MIT","https://github.com/babel/babel"
"@babel/parser@7.17.10","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.16.7","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.16.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-async-generator-functions@7.16.8","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-properties@7.16.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-static-block@7.17.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-dynamic-import@7.16.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-export-namespace-from@7.16.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-json-strings@7.16.7","MIT","https://github.com/babel/babel"
